Parent ID,Parent Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
724,Camp Rock 2011,0.00101,0.0,1.0E-5,2.0E-5,7.0E-5,0.00101,3.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,3.0E-5,0.0
173,Canada David (Detachment),7.3E-4,0.0,0.0,0.0,1.1E-4,7.3E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Carlsbad,0.00169,0.0,1.0E-5,2.0E-5,1.4E-4,0.00168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,Carson Range (Genoa),0.01349,0.0,4.0E-5,1.6E-4,0.00152,0.01323,3.0E-5,0.0,1.0E-5,1.0E-5,2.0E-5,3.0E-5,2.0E-5
670,Casmalia 2011 CFM,0.00143,0.0,1.0E-5,3.0E-5,2.3E-4,0.00143,2.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,2.0E-5,0.0
34,Cedar Mtn-Mahogany Mtn,0.00935,0.0,1.0E-5,3.0E-5,7.0E-4,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Cerro Prieto,0.15148,6.0E-5,2.4E-4,0.00107,0.01418,0.14757,3.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,3.0E-5,1.0E-5
129,Channel Islands Thrust,0.00948,4.0E-5,9.0E-5,1.9E-4,0.00104,0.00873,1.6E-4,4.0E-5,7.0E-5,7.0E-5,1.0E-4,1.6E-4,5.0E-5
214,Channel Islands Western Deep Ramp,0.00296,1.0E-5,2.0E-5,3.0E-5,2.7E-4,0.00284,5.0E-5,1.0E-5,2.0E-5,2.0E-5,3.0E-5,5.0E-5,1.0E-5
238,Chino alt 1,0.018,2.0E-5,2.0E-5,1.0E-4,0.00162,0.01685,9.0E-5,2.0E-5,2.0E-5,2.0E-5,6.0E-5,9.0E-5,1.0E-5
124,Clamshell-Sawpit,0.00114,0.0,0.0,1.0E-5,1.3E-4,0.00114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,Clayton,0.00371,0.0,0.0,1.0E-5,3.5E-4,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Cleghorn,0.0042,1.0E-5,2.0E-5,4.0E-5,3.8E-4,0.0042,8.0E-5,1.0E-5,2.0E-5,3.0E-5,5.0E-5,8.0E-5,2.0E-5
884,Cleghorn Lake,0.00717,1.0E-5,5.0E-5,7.0E-5,7.1E-4,0.00671,1.9E-4,1.0E-5,4.0E-5,6.0E-5,1.2E-4,1.8E-4,7.0E-5
883,Cleghorn Pass,0.00651,6.0E-5,8.0E-5,1.4E-4,8.4E-4,0.00593,2.1E-4,6.0E-5,8.0E-5,1.0E-4,1.4E-4,1.9E-4,5.0E-5
582,Collayami 2011 CFM,0.00866,1.0E-5,1.0E-5,6.0E-5,8.3E-4,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Compton,0.00188,1.0E-5,1.0E-5,2.0E-5,1.5E-4,0.00186,3.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,3.0E-5,0.0
622,Concord 2011 CFM,0.02801,0.0,2.0E-5,1.4E-4,0.00273,0.02779,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
626,Contra Costa (Lafayette) 2011 CFM,0.0022,0.0,0.0,1.0E-5,1.7E-4,0.00219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,Contra Costa Shear Zone (connector) 2011 CFM,0.00541,0.0,1.0E-5,4.0E-5,4.8E-4,0.00537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,Coronado Bank alt1,0.03328,0.0,6.0E-5,3.3E-4,0.00295,0.03161,8.0E-5,0.0,0.0,2.0E-5,3.0E-5,8.0E-5,1.0E-5
157,Coyote Canyon,0.0242,5.6E-4,9.9E-4,0.00151,0.00407,0.02113,0.0051,5.6E-4,9.9E-4,0.00143,0.00254,0.00442,4.7E-4
163,Coyote Lake,0.0085,1.3E-4,2.4E-4,3.5E-4,0.00125,0.00817,0.00102,1.3E-4,2.2E-4,3.0E-4,5.9E-4,0.00101,1.3E-4
125,Cucamonga,0.00371,1.0E-5,1.0E-5,3.0E-5,4.1E-4,0.00365,2.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,2.0E-5,0.0
894,Davis Creek,0.00944,0.0,1.0E-5,7.0E-5,7.3E-4,0.0077,3.0E-5,0.0,0.0,1.0E-5,2.0E-5,2.0E-5,0.0
245,Death Valley (Black Mtns Frontal),0.00578,1.9E-4,3.6E-4,5.6E-4,0.00148,0.00577,0.00129,1.9E-4,3.6E-4,5.5E-4,9.5E-4,0.00129,2.5E-4
45,Death Valley (Fish Lake Valley),0.01147,7.0E-5,1.5E-4,2.1E-4,0.00152,0.01137,4.7E-4,7.0E-5,1.3E-4,1.7E-4,3.5E-4,4.7E-4,1.0E-4
46,Death Valley (No),0.00589,1.1E-4,2.1E-4,3.0E-4,0.00109,0.00587,7.2E-4,1.1E-4,2.1E-4,2.6E-4,4.7E-4,7.2E-4,1.5E-4
246,Death Valley (So),0.01309,5.1E-4,0.001,0.00159,0.00353,0.01276,0.00451,5.1E-4,9.9E-4,0.00155,0.00277,0.00445,3.4E-4
51,Deep Springs,0.0073,2.0E-5,5.0E-5,8.0E-5,8.5E-4,0.00727,1.6E-4,2.0E-5,4.0E-5,6.0E-5,1.0E-4,1.6E-4,4.0E-5
230,Del Valle,0.00254,1.0E-5,1.0E-5,1.0E-5,1.7E-4,0.00253,3.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,3.0E-5,0.0
889,Dog Valley,0.00215,0.0,1.0E-5,2.0E-5,1.6E-4,0.00215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
888,Dry Mountain,0.00179,1.0E-5,2.0E-5,2.0E-5,1.9E-4,0.00177,1.2E-4,1.0E-5,2.0E-5,2.0E-5,7.0E-5,1.2E-4,1.0E-5
249,Earthquake Valley,0.00611,2.0E-5,2.0E-5,7.0E-5,4.8E-4,0.00611,3.0E-5,2.0E-5,2.0E-5,2.0E-5,3.0E-5,3.0E-5,1.0E-5
255,Earthquake Valley (No  Extension),0.00654,2.0E-5,2.0E-5,7.0E-5,5.5E-4,0.00652,3.0E-5,2.0E-5,2.0E-5,2.0E-5,3.0E-5,3.0E-5,1.0E-5
256,Earthquake Valley (So Extension),0.00976,2.0E-5,2.0E-5,8.0E-5,8.5E-4,0.00973,4.0E-5,2.0E-5,2.0E-5,2.0E-5,4.0E-5,4.0E-5,1.0E-5
671,East Huasna 2011 CFM,5.3E-4,0.0,0.0,0.0,4.0E-5,5.3E-4,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
672,Eaton Roughs 2011 CFM,0.03345,0.0,2.0E-5,1.1E-4,0.00239,0.02905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Elmore Ranch,0.03081,1.0E-5,3.0E-5,1.6E-4,0.00275,0.03052,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,0.0
103,Elsinore (Coyote Mountains),0.01298,1.0E-5,3.0E-5,1.1E-4,0.0013,0.0128,2.0E-5,0.0,0.0,0.0,1.0E-5,2.0E-5,1.0E-5
296,Elsinore (Glen Ivy) rev,0.0928,4.0E-5,1.3E-4,6.6E-4,0.00774,0.08008,5.4E-4,4.0E-5,1.0E-4,1.6E-4,3.0E-4,4.5E-4,9.0E-5
102,Elsinore (Julian),0.00267,0.0,0.0,3.0E-5,1.7E-4,0.00267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Elsinore (Stepovers Combined),0.00597,0.0,0.0,2.0E-5,4.1E-4,0.00595,2.0E-5,0.0,0.0,1.0E-5,1.0E-5,2.0E-5,0.0
299,Elsinore (Temecula) rev,0.0064,0.0,0.0,6.0E-5,4.4E-4,0.00639,2.0E-5,0.0,0.0,1.0E-5,1.0E-5,2.0E-5,0.0
196,Elysian Park (Lower CFM),5.7E-4,0.0,0.0,0.0,3.0E-5,5.7E-4,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
146,Elysian Park (Upper),0.01281,1.0E-5,2.0E-5,8.0E-5,0.00119,0.01185,6.0E-5,1.0E-5,2.0E-5,2.0E-5,5.0E-5,6.0E-5,2.0E-5
90,Emerson-Copper Mtn 2011,0.00283,1.0E-5,1.0E-5,4.0E-5,2.1E-4,0.00282,2.0E-5,1.0E-5,1.0E-5,2.0E-5,2.0E-5,2.0E-5,0.0
95,Eureka Peak,0.00256,0.0,1.0E-5,4.0E-5,2.3E-4,0.00256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Fickle Hill (alt1),0.00238,0.0,1.0E-5,1.0E-5,2.2E-4,0.00234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,Fish Slough 2011 CFM,0.00104,0.0,0.0,0.0,8.0E-5,0.00104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
893,Fitzhugh Creek,0.00248,0.0,2.0E-5,5.0E-5,2.2E-4,0.00235,3.0E-5,0.0,1.0E-5,3.0E-5,3.0E-5,3.0E-5,0.0
204,Fontana (Seismicity),0.00224,0.0,0.0,1.0E-5,2.8E-4,0.00224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
