Parent ID,Parent Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
843,Point Reyes 2011 connector,5.0E-5,0.024,0.0,0.0,0.0,3.534231E-5
545,Polaris 2011 CFM,9.8E-5,0.049,6.0E-6,0.003,4.0E-6,1.9505582E-4
240,Puente Hills,1.56E-4,0.074,4.0E-6,0.002,2.0E-6,3.858008E-4
648,Quien Sabe 2011 CFM,3.2E-5,0.016,4.0E-6,0.002,0.0,3.490287E-5
152,Raymond,2.38E-4,0.116,1.2E-5,0.006,6.0E-6,3.7242935E-4
118,Red Mountain,9.66E-4,0.397,3.4E-5,0.016,8.0E-6,0.0012254406
161,Red Pass,0.0,0.0,0.0,0.0,0.0,0.0
232,Redondo Canyon alt 1,1.6E-5,0.008,0.0,0.0,0.0,5.8848167E-5
649,Reliz 2011 CFM,1.2E-4,0.059,4.0E-6,0.002,2.0E-6,1.578918E-4
205,Richfield,0.0,0.0,0.0,0.0,0.0,6.413029E-7
650,Rinconada 2011 CFM,1.24E-4,0.062,4.0E-6,0.002,0.0,1.4460117E-4
38,Robinson Creek,0.0,0.0,0.0,0.0,0.0,0.0
689,Rocky Ledge 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0
651,Rodgers Creek - Healdsburg 2011 CFM,0.002006,0.753,7.0E-5,0.034,2.6E-5,0.002518236
123,Rose Canyon,1.68E-4,0.084,0.0,0.0,0.0,3.0961548E-4
42,Round Valley,7.0E-5,0.035,4.0E-6,0.002,0.0,2.6409957E-4
690,Russ 2011 CFM,3.0E-4,0.15,2.0E-6,0.001,0.0,5.323183E-4
287,San Andreas (Big Bend),0.004662,0.999,3.52E-4,0.147,1.68E-4,0.0045623486
300,San Andreas (Carrizo) rev,0.00574,1.0,4.64E-4,0.185,2.14E-4,0.0057427646
285,San Andreas (Cholame) rev,0.005722,0.999,4.62E-4,0.184,2.02E-4,0.005722108
295,San Andreas (Coachella) rev,0.00422,0.982,2.04E-4,0.095,9.4E-5,0.004435764
658,San Andreas (Creeping Section) 2011 CFM,0.006884,0.989,3.56E-4,0.155,1.5E-4,0.007612852
286,San Andreas (Mojave N),0.004952,1.0,3.6E-4,0.148,1.72E-4,0.0051040766
301,San Andreas (Mojave S),0.005306,0.998,3.64E-4,0.154,1.74E-4,0.0052993274
294,San Andreas (North Branch Mill Creek),5.22E-4,0.25,2.4E-5,0.012,1.0E-5,6.520273E-4
654,San Andreas (North Coast) 2011 CFM,0.004616,0.996,3.5E-4,0.142,1.68E-4,0.005556243
653,San Andreas (Offshore) 2011 CFM,0.00428,0.986,3.38E-4,0.142,1.62E-4,0.0049385377
32,San Andreas (Parkfield),0.00435,0.963,3.26E-4,0.137,1.4E-4,0.004465195
655,San Andreas (Peninsula) 2011 CFM,0.00374,0.978,2.44E-4,0.107,1.16E-4,0.0043358854
282,San Andreas (San Bernardino N),0.004556,0.978,2.88E-4,0.123,1.16E-4,0.004749499
283,San Andreas (San Bernardino S),0.002972,0.872,1.64E-4,0.074,7.0E-5,0.0030576885
284,San Andreas (San Gorgonio Pass-Garnet HIll),0.003594,0.93,1.68E-4,0.078,7.4E-5,0.0037061623
657,San Andreas (Santa Cruz Mts) 2011 CFM,0.005374,0.991,2.92E-4,0.125,1.18E-4,0.0062776324
80,San Cayetano,6.08E-4,0.289,2.0E-5,0.01,1.2E-5,0.0011689607
178,San Clemente,3.0E-4,0.15,0.0,0.0,0.0,6.466508E-4
774,San Diego Trough north alt1,2.74E-4,0.132,6.0E-6,0.003,4.0E-6,5.6790654E-4
177,San Diego Trough south,3.48E-4,0.172,2.0E-6,0.001,0.0,7.015131E-4
247,San Gabriel,1.96E-4,0.093,1.4E-5,0.007,1.0E-5,2.7305033E-4
248,San Gabriel (Extension),1.32E-4,0.065,8.0E-6,0.004,2.0E-6,1.9278647E-4
194,San Gorgonio Pass,2.26E-4,0.108,1.0E-5,0.005,4.0E-6,2.860738E-4
660,San Gregorio (North) 2011 CFM,0.001076,0.475,6.6E-5,0.033,2.4E-5,0.0015229435
661,San Gregorio (South) 2011 CFM,3.72E-4,0.182,2.2E-5,0.011,6.0E-6,6.6827214E-4
293,San Jacinto (Anza) rev,0.001816,0.721,7.8E-5,0.035,3.4E-5,0.002837732
99,San Jacinto (Borrego),7.52E-4,0.347,3.6E-5,0.018,1.2E-5,0.0012447009
292,San Jacinto (Clark) rev,0.001014,0.468,3.4E-5,0.017,1.8E-5,0.0015111015
101,San Jacinto (Coyote Creek),8.34E-4,0.378,4.2E-5,0.02,1.4E-5,0.00138014
901,San Jacinto (Lytle Creek connector),1.86E-4,0.091,1.6E-5,0.008,6.0E-6,3.4252123E-4
119,San Jacinto (San Bernardino),0.001118,0.481,7.2E-5,0.035,3.8E-5,0.0017322057
289,San Jacinto (San Jacinto Valley) rev,0.00116,0.496,6.2E-5,0.029,3.0E-5,0.001893849
401,San Jacinto (Stepovers Combined),0.001292,0.55,6.4E-5,0.03,3.0E-5,0.002106169
28,San Jacinto (Superstition Mtn),5.74E-4,0.272,2.8E-5,0.014,8.0E-6,9.785811E-4
143,San Joaquin Hills,9.0E-5,0.045,2.0E-6,0.001,0.0,1.6941951E-4
107,San Jose,4.4E-5,0.022,2.0E-6,0.001,2.0E-6,1.0271003E-4
31,San Juan,1.7E-4,0.085,1.6E-5,0.008,0.0,1.382961E-4
692,San Luis Range - Oceano 2011 CFM,8.0E-6,0.004,0.0,0.0,0.0,2.4046047E-5
693,San Luis Range - Pecho 2011 CFM,8.0E-6,0.004,0.0,0.0,0.0,1.37312845E-5
691,San Luis Range 2011 CFM,5.6E-5,0.027,0.0,0.0,0.0,8.067476E-5
181,San Pedro Basin,1.54E-4,0.077,2.0E-6,0.001,2.0E-6,3.096861E-4
183,San Pedro Escarpment,3.2E-5,0.016,2.0E-6,0.001,2.0E-6,6.125914E-5
198,San Vicente,6.0E-6,0.003,0.0,0.0,0.0,1.2383826E-5
775,Santa Cruz Catalina Ridge alt1,2.38E-4,0.115,4.0E-6,0.002,2.0E-6,4.1987374E-4
111,Santa Cruz Island,2.02E-4,0.094,2.0E-6,0.001,2.0E-6,3.9744668E-4
185,Santa Monica Bay,1.4E-5,0.007,0.0,0.0,0.0,3.319691E-5
226,Santa Monica alt 1,2.0E-4,0.098,8.0E-6,0.004,4.0E-6,3.7620217E-4
110,Santa Rosa Island,5.4E-5,0.027,2.0E-6,0.001,2.0E-6,1.21290046E-4
778,Santa Susana East (connector),1.76E-4,0.086,1.4E-5,0.007,2.0E-6,4.840116E-4
227,Santa Susana alt 1,3.6E-4,0.175,2.2E-5,0.011,6.0E-6,8.30558E-4
79,Santa Ynez (East),3.74E-4,0.172,1.2E-5,0.006,0.0,5.519188E-4
77,Santa Ynez (West),4.72E-4,0.213,1.2E-5,0.005,0.0,6.176407E-4
781,Santa Ynez River,1.24E-4,0.061,2.0E-6,0.001,0.0,1.6757712E-4
662,Sargent 2011 CFM,3.96E-4,0.185,2.6E-5,0.013,6.0E-6,4.8252885E-4
209,Scodie Lineament,8.0E-6,0.004,2.0E-6,0.001,0.0,4.017108E-5
885,Sheephole,3.0E-5,0.015,4.0E-6,0.002,0.0,5.1392635E-5
547,Shoreline,2.2E-5,0.011,0.0,0.0,0.0,3.333714E-5
114,Sierra Madre,3.06E-4,0.149,1.6E-5,0.008,1.0E-5,6.17248E-4
113,Sierra Madre (San Fernando),1.52E-4,0.074,8.0E-6,0.004,4.0E-6,4.5128807E-4
210,Sierra Nevada  (No Extension),4.4E-5,0.022,6.0E-6,0.003,4.0E-6,1.2701045E-4
664,Silver Creek 2011 CFM,5.4E-5,0.027,2.0E-6,0.001,0.0,6.033712E-5
