Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
689,Rocky Ledge 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,Rodgers Creek - Healdsburg 2011 CFM,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5
123,Rose Canyon,3.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,3.0E-5,1.0E-5
42,Round Valley,1.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,0.0
690,Russ 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,San Andreas (Big Bend),4.9E-4,1.1E-4,1.4E-4,2.5E-4,3.6E-4,4.9E-4,1.1E-4
300,San Andreas (Carrizo) rev,4.0E-4,7.0E-5,1.1E-4,1.9E-4,2.9E-4,4.0E-4,1.0E-4
285,San Andreas (Cholame) rev,3.9E-4,7.0E-5,1.1E-4,1.8E-4,2.7E-4,3.9E-4,1.0E-4
295,San Andreas (Coachella) rev,3.1E-4,5.0E-5,1.5E-4,1.9E-4,2.5E-4,3.1E-4,9.0E-5
658,San Andreas (Creeping Section) 2011 CFM,1.8E-4,4.0E-5,6.0E-5,7.0E-5,1.3E-4,1.8E-4,3.0E-5
286,San Andreas (Mojave N),0.00408,0.00125,0.00187,0.00233,0.00318,0.00405,0.00202
301,San Andreas (Mojave S),0.00324,9.5E-4,0.00144,0.00185,0.00256,0.0032,0.00157
294,San Andreas (North Branch Mill Creek),2.5E-4,6.0E-5,8.0E-5,1.4E-4,2.0E-4,2.5E-4,1.1E-4
654,San Andreas (North Coast) 2011 CFM,1.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,0.0
653,San Andreas (Offshore) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,San Andreas (Parkfield),2.4E-4,4.0E-5,6.0E-5,1.2E-4,1.7E-4,2.4E-4,5.0E-5
655,San Andreas (Peninsula) 2011 CFM,1.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,0.0
282,San Andreas (San Bernardino N),0.00221,6.5E-4,9.9E-4,0.00128,0.00167,0.00213,0.00103
283,San Andreas (San Bernardino S),0.00113,3.3E-4,5.4E-4,7.0E-4,8.9E-4,0.00112,4.6E-4
284,San Andreas (San Gorgonio Pass-Garnet HIll),4.6E-4,9.0E-5,2.3E-4,2.7E-4,3.7E-4,4.6E-4,1.7E-4
657,San Andreas (Santa Cruz Mts) 2011 CFM,3.0E-5,1.0E-5,2.0E-5,2.0E-5,2.0E-5,3.0E-5,1.0E-5
80,San Cayetano,6.0E-5,2.0E-5,2.0E-5,2.0E-5,2.0E-5,6.0E-5,1.0E-5
178,San Clemente,4.0E-5,1.0E-5,1.0E-5,1.0E-5,3.0E-5,4.0E-5,0.0
774,San Diego Trough north alt1,2.0E-5,0.0,0.0,1.0E-5,1.0E-5,2.0E-5,0.0
177,San Diego Trough south,2.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,0.0
247,San Gabriel,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
248,San Gabriel (Extension),1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
194,San Gorgonio Pass,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
660,San Gregorio (North) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,San Gregorio (South) 2011 CFM,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
293,San Jacinto (Anza) rev,1.8E-4,6.0E-5,7.0E-5,9.0E-5,1.4E-4,1.8E-4,8.0E-5
99,San Jacinto (Borrego),6.0E-5,3.0E-5,4.0E-5,5.0E-5,5.0E-5,6.0E-5,3.0E-5
292,San Jacinto (Clark) rev,5.0E-5,0.0,0.0,1.0E-5,5.0E-5,5.0E-5,2.0E-5
101,San Jacinto (Coyote Creek),1.0E-4,5.0E-5,6.0E-5,7.0E-5,8.0E-5,1.0E-4,6.0E-5
901,San Jacinto (Lytle Creek connector),8.0E-5,3.0E-5,5.0E-5,7.0E-5,8.0E-5,8.0E-5,4.0E-5
119,San Jacinto (San Bernardino),3.2E-4,1.1E-4,1.4E-4,1.8E-4,2.4E-4,3.2E-4,1.5E-4
289,San Jacinto (San Jacinto Valley) rev,2.2E-4,7.0E-5,9.0E-5,1.1E-4,1.5E-4,2.2E-4,9.0E-5
401,San Jacinto (Stepovers Combined),1.9E-4,6.0E-5,7.0E-5,9.0E-5,1.3E-4,1.9E-4,8.0E-5
28,San Jacinto (Superstition Mtn),2.0E-5,2.0E-5,2.0E-5,2.0E-5,2.0E-5,2.0E-5,1.0E-5
143,San Joaquin Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,San Jose,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,San Juan,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
