Subsection Index,Subsection Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
60,"Bartlett Springs 2011 CFM, Subsection 11",3.2348432E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,3.2348432E-6,0.0
61,"Bartlett Springs 2011 CFM, Subsection 12",6.4696865E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,6.4696865E-6,0.0
62,"Bartlett Springs 2011 CFM, Subsection 13",6.4696865E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,6.4696865E-6,0.0
63,"Bartlett Springs 2011 CFM, Subsection 14",6.4696865E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,6.4696865E-6,0.0
64,"Bartlett Springs 2011 CFM, Subsection 15",6.4696865E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,6.4696865E-6,0.0
65,"Bartlett Springs 2011 CFM, Subsection 16",6.4696865E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,6.4696865E-6,0.0
66,"Bartlett Springs 2011 CFM, Subsection 17",6.4696865E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,6.4696865E-6,0.0
67,"Bartlett Springs 2011 CFM, Subsection 18",3.2348432E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,3.2348432E-6,0.0
68,"Bartlett Springs 2011 CFM, Subsection 19",3.2348432E-6,0.0,3.2348432E-6,3.2348432E-6,3.2348432E-6,3.2348432E-6,0.0
69,"Bartlett Springs 2011 CFM, Subsection 20",0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"Bartlett Springs 2011 CFM, Subsection 21",0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"Bartlett Springs 2011 CFM, Subsection 22",0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,"Battle Creek 2011 CFM, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"Battle Creek 2011 CFM, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,"Battle Creek 2011 CFM, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"Battle Creek 2011 CFM, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"Battle Creek 2011 CFM, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"Battle Creek 2011 CFM, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,"Battle Creek 2011 CFM, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"Bear River fault zone, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"Bear River fault zone, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"Bear River fault zone, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"Bear River fault zone, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"Bear River fault zone, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"Bear River fault zone, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,"Bear River fault zone, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"Bear River fault zone, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,"Bear River fault zone, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"Bear River fault zone, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,"Bear River fault zone, Subsection 10",0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"Bennett Valley 2011 CFM, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,"Bennett Valley 2011 CFM, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,"Bennett Valley 2011 CFM, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,"Bennett Valley 2011 CFM, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,"Bennett Valley 2011 CFM, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,"Bennett Valley 2011 CFM, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,"Bennett Valley 2011 CFM, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,"Bicycle Lake, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,"Bicycle Lake, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,"Bicycle Lake, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,"Bicycle Lake, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 10",0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 11",0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 12",0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 13",0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 14",0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 15",0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 16",0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 17",0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"Big Pine (Central), Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,"Big Pine (Central), Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,"Big Pine (Central), Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,"Big Pine (Central), Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,"Big Pine (Central), Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,"Big Pine (Central), Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,"Big Pine (Central), Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,"Big Pine (East), Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,"Big Pine (East), Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,"Big Pine (East), Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,"Big Pine (East), Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,"Big Pine (West), Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,"Big Pine (West), Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,"Big Pine (West), Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,"Blackwater, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,"Blackwater, Subsection 1",0.0013392251,2.8143136E-4,4.5287804E-4,5.855066E-4,9.801575E-4,0.0013392251,3.978857E-4
135,"Blackwater, Subsection 2",0.0015106718,3.073101E-4,5.1110523E-4,6.6637766E-4,0.0010901422,0.0015106718,4.269993E-4
136,"Blackwater, Subsection 3",0.001630361,3.3318883E-4,5.4992334E-4,7.1813515E-4,0.0011807177,0.001630361,4.722871E-4
137,"Blackwater, Subsection 4",0.0017694592,3.7847666E-4,6.081505E-4,7.893017E-4,0.0012809979,0.0017694592,5.1434006E-4
138,"Blackwater, Subsection 5",0.0018632696,4.0759024E-4,6.437338E-4,8.3458953E-4,0.0013359903,0.0018600348,5.434537E-4
