Subsection Index,Subsection Name,Total Mean Annual Rate,Total 1000 Year Prob,Long-Term Fault System Solution Rate
63,"Bartlett Springs 2011 CFM, Subsection 14",0.001165,0.753,0.0015687704
64,"Bartlett Springs 2011 CFM, Subsection 15",0.001099,0.74,0.0014754542
65,"Bartlett Springs 2011 CFM, Subsection 16",0.001175,0.764,0.0015213606
66,"Bartlett Springs 2011 CFM, Subsection 17",0.001217,0.774,0.0015368889
67,"Bartlett Springs 2011 CFM, Subsection 18",0.001349,0.8,0.0015880554
68,"Bartlett Springs 2011 CFM, Subsection 19",0.001504,0.829,0.0016513385
69,"Bartlett Springs 2011 CFM, Subsection 20",0.001582,0.845,0.0016750054
70,"Bartlett Springs 2011 CFM, Subsection 21",0.00193,0.891,0.0018841459
71,"Bartlett Springs 2011 CFM, Subsection 22",0.001821,0.877,0.0017592413
72,"Battle Creek 2011 CFM, Subsection 0",8.7E-5,0.086,1.6618324E-4
73,"Battle Creek 2011 CFM, Subsection 1",1.09E-4,0.106,1.9578171E-4
74,"Battle Creek 2011 CFM, Subsection 2",8.5E-5,0.084,1.709035E-4
75,"Battle Creek 2011 CFM, Subsection 3",8.8E-5,0.088,1.7296284E-4
76,"Battle Creek 2011 CFM, Subsection 4",9.0E-5,0.09,1.8240098E-4
77,"Battle Creek 2011 CFM, Subsection 5",1.08E-4,0.107,2.1927248E-4
78,"Battle Creek 2011 CFM, Subsection 6",1.02E-4,0.101,1.92047E-4
79,"Bear River fault zone, Subsection 0",3.07E-4,0.28,4.433904E-4
80,"Bear River fault zone, Subsection 1",3.41E-4,0.308,4.907389E-4
81,"Bear River fault zone, Subsection 2",3.49E-4,0.318,5.068453E-4
82,"Bear River fault zone, Subsection 3",3.52E-4,0.32,5.2818516E-4
83,"Bear River fault zone, Subsection 4",3.5E-4,0.321,5.4337684E-4
84,"Bear River fault zone, Subsection 5",3.59E-4,0.334,5.656841E-4
85,"Bear River fault zone, Subsection 6",3.6E-4,0.339,5.756444E-4
86,"Bear River fault zone, Subsection 7",3.68E-4,0.342,5.8361323E-4
87,"Bear River fault zone, Subsection 8",4.42E-4,0.399,6.7622086E-4
88,"Bear River fault zone, Subsection 9",6.12E-4,0.508,9.545354E-4
89,"Bear River fault zone, Subsection 10",5.8E-4,0.487,9.000491E-4
90,"Bennett Valley 2011 CFM, Subsection 0",9.04E-4,0.702,8.670489E-4
91,"Bennett Valley 2011 CFM, Subsection 1",9.57E-4,0.726,9.2122896E-4
92,"Bennett Valley 2011 CFM, Subsection 2",9.45E-4,0.718,9.077574E-4
93,"Bennett Valley 2011 CFM, Subsection 3",8.46E-4,0.66,8.628539E-4
94,"Bennett Valley 2011 CFM, Subsection 4",9.26E-4,0.688,9.844394E-4
95,"Bennett Valley 2011 CFM, Subsection 5",9.33E-4,0.688,9.984175E-4
96,"Bennett Valley 2011 CFM, Subsection 6",8.85E-4,0.664,9.588423E-4
97,"Bicycle Lake, Subsection 0",8.28E-4,0.656,6.573573E-4
98,"Bicycle Lake, Subsection 1",8.55E-4,0.664,6.7851593E-4
99,"Bicycle Lake, Subsection 2",9.45E-4,0.708,8.382663E-4
100,"Bicycle Lake, Subsection 3",9.01E-4,0.695,8.0834504E-4
101,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 0",2.71E-4,0.261,3.19658E-4
102,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 1",2.9E-4,0.278,3.374489E-4
103,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 2",2.54E-4,0.25,2.8072472E-4
104,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 3",2.49E-4,0.244,2.707548E-4
105,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 4",2.46E-4,0.239,2.6090385E-4
106,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 5",2.57E-4,0.247,2.580156E-4
107,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 6",2.55E-4,0.247,2.5569517E-4
108,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 7",2.69E-4,0.26,2.5519152E-4
109,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 8",2.78E-4,0.265,2.575542E-4
110,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 9",2.76E-4,0.266,2.6302354E-4
111,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 10",2.81E-4,0.272,2.6750076E-4
112,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 11",2.95E-4,0.279,2.7350316E-4
113,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 12",3.1E-4,0.292,2.8719226E-4
114,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 13",3.38E-4,0.306,3.0956077E-4
115,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 14",3.75E-4,0.328,3.4044898E-4
116,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 15",3.9E-4,0.333,3.787213E-4
117,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 16",4.96E-4,0.394,5.649302E-4
118,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 17",4.45E-4,0.375,5.2500045E-4
119,"Big Pine (Central), Subsection 0",4.35E-4,0.383,4.3030464E-4
120,"Big Pine (Central), Subsection 1",4.89E-4,0.418,4.7441374E-4
121,"Big Pine (Central), Subsection 2",5.52E-4,0.455,5.30696E-4
122,"Big Pine (Central), Subsection 3",6.69E-4,0.534,6.376021E-4
123,"Big Pine (Central), Subsection 4",6.74E-4,0.541,6.1315094E-4
124,"Big Pine (Central), Subsection 5",5.48E-4,0.482,5.3042383E-4
125,"Big Pine (Central), Subsection 6",5.42E-4,0.479,5.239334E-4
126,"Big Pine (East), Subsection 0",4.58E-4,0.409,2.9491246E-4
127,"Big Pine (East), Subsection 1",4.9E-4,0.438,3.273348E-4
128,"Big Pine (East), Subsection 2",4.84E-4,0.441,4.2306288E-4
129,"Big Pine (East), Subsection 3",4.52E-4,0.414,4.0202538E-4
130,"Big Pine (West), Subsection 0",2.0E-5,0.02,2.1024089E-5
131,"Big Pine (West), Subsection 1",3.1E-5,0.031,3.5641617E-5
132,"Big Pine (West), Subsection 2",2.5E-5,0.025,3.0143243E-5
133,"Blackwater, Subsection 0",3.19E-4,0.304,5.5195246E-4
134,"Blackwater, Subsection 1",3.56E-4,0.335,5.921046E-4
135,"Blackwater, Subsection 2",3.35E-4,0.308,4.3221778E-4
136,"Blackwater, Subsection 3",3.81E-4,0.343,4.3283068E-4
137,"Blackwater, Subsection 4",3.55E-4,0.319,3.8422932E-4
138,"Blackwater, Subsection 5",3.68E-4,0.335,3.9202062E-4
139,"Blackwater, Subsection 6",3.63E-4,0.325,3.838868E-4
140,"Blackwater, Subsection 7",3.97E-4,0.349,4.320655E-4
141,"Blackwater, Subsection 8",3.98E-4,0.349,4.3835258E-4
142,"Blackwater, Subsection 9",4.78E-4,0.423,5.98117E-4
143,"Blackwater, Subsection 10",4.35E-4,0.398,5.5877125E-4
144,"Blue Cut, Subsection 0",4.26E-4,0.388,5.124736E-4
145,"Blue Cut, Subsection 1",4.65E-4,0.414,5.4989656E-4
146,"Blue Cut, Subsection 2",3.7E-4,0.342,4.0316852E-4
147,"Blue Cut, Subsection 3",3.35E-4,0.313,3.7650985E-4
148,"Blue Cut, Subsection 4",3.16E-4,0.302,3.49399E-4
149,"Blue Cut, Subsection 5",3.17E-4,0.3,3.4076357E-4
150,"Blue Cut, Subsection 6",3.17E-4,0.303,3.3936932E-4
151,"Blue Cut, Subsection 7",3.32E-4,0.311,3.4063123E-4
152,"Blue Cut, Subsection 8",3.43E-4,0.316,3.4854867E-4
153,"Blue Cut, Subsection 9",3.47E-4,0.314,3.7501217E-4
154,"Blue Cut, Subsection 10",3.64E-4,0.324,4.0411676E-4
155,"Blue Cut, Subsection 11",4.61E-4,0.383,5.492568E-4
156,"Blue Cut, Subsection 12",4.35E-4,0.373,5.1306013E-4
157,"Brawley (Seismic Zone) alt 1, Subsection 0",0.009914,1.0,0.010662664
158,"Brawley (Seismic Zone) alt 1, Subsection 1",0.010681,1.0,0.011566627
159,"Brawley (Seismic Zone) alt 1, Subsection 2",0.011043,1.0,0.011965584
160,"Brawley (Seismic Zone) alt 1, Subsection 3",0.011237,1.0,0.012187505
161,"Brawley (Seismic Zone) alt 1, Subsection 4",0.011334,1.0,0.012309746
162,"Brawley (Seismic Zone) alt 1, Subsection 5",0.011481,1.0,0.012465971
163,"Brawley (Seismic Zone) alt 1, Subsection 6",0.011641,1.0,0.01260687
164,"Brawley (Seismic Zone) alt 1, Subsection 7",0.011814,1.0,0.0127529735
165,"Brawley (Seismic Zone) alt 1, Subsection 8",0.01203,1.0,0.012847789
166,"Brawley (Seismic Zone) alt 1, Subsection 9",0.011652,1.0,0.012377783
167,"Breckenridge 2011, Subsection 0",2.1E-5,0.021,5.9955266E-5
168,"Breckenridge 2011, Subsection 1",2.1E-5,0.021,5.9955266E-5
169,"Bullion Mountains, Subsection 0",4.59E-4,0.415,6.7111687E-4
170,"Bullion Mountains, Subsection 1",4.77E-4,0.427,7.0205145E-4
171,"Bullion Mountains, Subsection 2",3.84E-4,0.358,6.09838E-4
172,"Bullion Mountains, Subsection 3",3.37E-4,0.323,5.885949E-4
173,"Bullion Mountains, Subsection 4",3.21E-4,0.31,5.814996E-4
174,"Bullion Mountains, Subsection 5",2.9E-4,0.282,5.372005E-4
175,"Burnt Mtn, Subsection 0",4.65E-4,0.43,7.6363323E-4
176,"Burnt Mtn, Subsection 1",4.99E-4,0.46,8.178091E-4
177,"Burnt Mtn, Subsection 2",4.64E-4,0.429,7.648078E-4
178,"Butano 2011 CFM, Subsection 0",2.92E-4,0.264,2.4100597E-4
179,"Butano 2011 CFM, Subsection 1",3.06E-4,0.276,2.5178085E-4
180,"Butano 2011 CFM, Subsection 2",2.75E-4,0.249,2.4753233E-4
181,"Butano 2011 CFM, Subsection 3",3.41E-4,0.317,2.8211478E-4
182,"Butano 2011 CFM, Subsection 4",3.5E-4,0.324,2.8602162E-4
183,"Butano 2011 CFM, Subsection 5",3.47E-4,0.324,2.850404E-4
184,"Butano 2011 CFM, Subsection 6",3.49E-4,0.327,2.9395157E-4
185,"Butano 2011 CFM, Subsection 7",3.21E-4,0.305,2.7626497E-4
186,"Cady, Subsection 0",4.82E-4,0.438,5.811487E-4
187,"Cady, Subsection 1",5.1E-4,0.459,6.1505847E-4
188,"Cady, Subsection 2",4.53E-4,0.399,5.689375E-4
189,"Cady, Subsection 3",5.78E-4,0.475,7.0345186E-4
190,"Cady, Subsection 4",5.44E-4,0.457,6.60088E-4
191,"Calaveras (Central) 2011 CFM, Subsection 0",0.00376,0.994,0.0038275048
192,"Calaveras (Central) 2011 CFM, Subsection 1",0.004487,0.999,0.0046997718
193,"Calaveras (Central) 2011 CFM, Subsection 2",0.004535,0.999,0.0047514252
194,"Calaveras (Central) 2011 CFM, Subsection 3",0.004631,1.0,0.004828207
195,"Calaveras (Central) 2011 CFM, Subsection 4",0.00464,1.0,0.0048361374
196,"Calaveras (Central) 2011 CFM, Subsection 5",0.004255,0.999,0.004417294
197,"Calaveras (Central) 2011 CFM, Subsection 6",0.004244,0.999,0.0043376135
198,"Calaveras (Central) 2011 CFM, Subsection 7",0.004346,0.998,0.0043651396
199,"Calaveras (Central) 2011 CFM, Subsection 8",0.006203,1.0,0.0059121237
200,"Calaveras (Central) 2011 CFM, Subsection 9",0.004301,0.999,0.004080838
201,"Calaveras (No) 2011 CFM, Subsection 0",0.002266,0.96,0.0021334596
202,"Calaveras (No) 2011 CFM, Subsection 1",0.00235,0.966,0.0022099682
203,"Calaveras (No) 2011 CFM, Subsection 2",0.002378,0.973,0.0022244432
204,"Calaveras (No) 2011 CFM, Subsection 3",0.002394,0.976,0.0022261748
205,"Calaveras (No) 2011 CFM, Subsection 4",0.002451,0.98,0.0022508076
206,"Calaveras (No) 2011 CFM, Subsection 5",0.002542,0.982,0.0023094388
207,"Calaveras (No) 2011 CFM, Subsection 6",0.00196,0.947,0.0018845401
208,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 0",0.004019,1.0,0.0039068446
209,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 1",0.00408,1.0,0.0039721904
210,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 2",0.004307,1.0,0.0041855187
211,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 3",0.004702,0.998,0.004575454
212,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 4",0.004508,0.997,0.004422876
213,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 5",0.004333,0.997,0.004247909
214,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 6",0.003454,0.989,0.0032906414
215,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 7",0.005838,0.999,0.0058081364
216,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 8",0.00396,0.981,0.004075363
217,"Calaveras (So) 2011 CFM, Subsection 0",0.005647,1.0,0.0059521985
218,"Calaveras (So) 2011 CFM, Subsection 1",0.007491,1.0,0.008311862
219,"Calaveras (So) 2011 CFM, Subsection 2",0.007465,1.0,0.008338801
220,"Calaveras (So) 2011 CFM, Subsection 3",0.007152,1.0,0.008002838
221,"Calaveras (So) 2011 CFM, Subsection 4",0.006014,1.0,0.0066219955
222,"Calaveras (So) 2011 CFM, Subsection 5",0.005363,1.0,0.005785232
223,"Calico-Hidalgo, Subsection 0",5.18E-4,0.464,7.1149203E-4
224,"Calico-Hidalgo, Subsection 1",5.53E-4,0.494,7.543162E-4
225,"Calico-Hidalgo, Subsection 2",4.9E-4,0.454,6.808229E-4
226,"Calico-Hidalgo, Subsection 3",4.66E-4,0.44,6.606166E-4
227,"Calico-Hidalgo, Subsection 4",4.52E-4,0.431,6.3760026E-4
228,"Calico-Hidalgo, Subsection 5",4.5E-4,0.431,6.3996646E-4
229,"Calico-Hidalgo, Subsection 6",4.46E-4,0.428,6.412979E-4
230,"Calico-Hidalgo, Subsection 7",4.45E-4,0.431,6.364633E-4
231,"Calico-Hidalgo, Subsection 8",4.61E-4,0.443,6.4216985E-4
232,"Calico-Hidalgo, Subsection 9",4.78E-4,0.457,6.4694975E-4
233,"Calico-Hidalgo, Subsection 10",4.95E-4,0.475,6.559807E-4
234,"Calico-Hidalgo, Subsection 11",5.09E-4,0.487,6.7657704E-4
235,"Calico-Hidalgo, Subsection 12",5.3E-4,0.497,6.965377E-4
236,"Calico-Hidalgo, Subsection 13",5.43E-4,0.502,7.1467686E-4
237,"Calico-Hidalgo, Subsection 14",5.69E-4,0.51,7.545429E-4
238,"Calico-Hidalgo, Subsection 15",7.46E-4,0.579,9.837415E-4
239,"Calico-Hidalgo, Subsection 16",0.001014,0.678,0.0014537696
240,"Calico-Hidalgo, Subsection 17",8.68E-4,0.62,0.001271305
241,"Camp Rock 2011, Subsection 0",1.59E-4,0.158,5.5113004E-4
242,"Camp Rock 2011, Subsection 1",1.94E-4,0.19,7.1195787E-4
243,"Camp Rock 2011, Subsection 2",1.31E-4,0.13,3.774342E-4
244,"Camp Rock 2011, Subsection 3",1.48E-4,0.147,3.722676E-4
245,"Camp Rock 2011, Subsection 4",1.75E-4,0.173,3.6689395E-4
246,"Camp Rock 2011, Subsection 5",1.65E-4,0.163,3.532476E-4
247,"Canada David (Detachment), Subsection 0",8.1E-5,0.081,1.318811E-4
248,"Canada David (Detachment), Subsection 1",1.04E-4,0.104,1.708136E-4
249,"Canada David (Detachment), Subsection 2",9.6E-5,0.096,1.5883667E-4
250,"Carlsbad, Subsection 0",1.1E-4,0.109,1.2271272E-4
251,"Carlsbad, Subsection 1",1.23E-4,0.122,1.4389952E-4
252,"Carlsbad, Subsection 2",1.17E-4,0.115,1.4701959E-4
253,"Carlsbad, Subsection 3",1.07E-4,0.103,1.311662E-4
254,"Carlsbad, Subsection 4",1.36E-4,0.128,1.3556494E-4
255,"Carlsbad, Subsection 5",1.33E-4,0.128,1.5299456E-4
256,"Carlsbad, Subsection 6",1.08E-4,0.106,1.336014E-4
257,"Carson Range (Genoa), Subsection 0",6.85E-4,0.538,0.0012453912
258,"Carson Range (Genoa), Subsection 1",7.34E-4,0.563,0.0013314266
259,"Carson Range (Genoa), Subsection 2",6.19E-4,0.513,0.0010756133
260,"Carson Range (Genoa), Subsection 3",6.48E-4,0.535,0.001073619
261,"Carson Range (Genoa), Subsection 4",7.16E-4,0.56,0.0010715898
262,"Carson Range (Genoa), Subsection 5",0.001052,0.674,0.0013522138
263,"Carson Range (Genoa), Subsection 6",9.94E-4,0.66,0.001266549
264,"Casmalia 2011 CFM, Subsection 0",6.5E-5,0.063,9.98144E-5
265,"Casmalia 2011 CFM, Subsection 1",7.7E-5,0.073,1.11029665E-4
266,"Casmalia 2011 CFM, Subsection 2",7.4E-5,0.073,1.1780475E-4
267,"Casmalia 2011 CFM, Subsection 3",8.0E-5,0.08,1.2271471E-4
268,"Casmalia 2011 CFM, Subsection 4",8.9E-5,0.089,1.21865385E-4
269,"Casmalia 2011 CFM, Subsection 5",1.01E-4,0.099,1.1758225E-4
270,"Casmalia 2011 CFM, Subsection 6",1.3E-4,0.127,1.2072508E-4
271,"Casmalia 2011 CFM, Subsection 7",1.22E-4,0.121,1.09624954E-4
272,"Cedar Mtn-Mahogany Mtn, Subsection 0",3.95E-4,0.35,4.8976496E-4
273,"Cedar Mtn-Mahogany Mtn, Subsection 1",4.47E-4,0.366,5.212897E-4
274,"Cedar Mtn-Mahogany Mtn, Subsection 2",4.05E-4,0.331,3.9957234E-4
275,"Cedar Mtn-Mahogany Mtn, Subsection 3",3.64E-4,0.307,3.5295758E-4
276,"Cedar Mtn-Mahogany Mtn, Subsection 4",3.57E-4,0.298,3.2723966E-4
277,"Cedar Mtn-Mahogany Mtn, Subsection 5",3.44E-4,0.287,3.1392282E-4
278,"Cedar Mtn-Mahogany Mtn, Subsection 6",3.45E-4,0.29,3.041663E-4
279,"Cedar Mtn-Mahogany Mtn, Subsection 7",3.41E-4,0.284,3.0289256E-4
280,"Cedar Mtn-Mahogany Mtn, Subsection 8",3.4E-4,0.283,3.0357027E-4
281,"Cedar Mtn-Mahogany Mtn, Subsection 9",3.79E-4,0.307,3.2943152E-4
282,"Cedar Mtn-Mahogany Mtn, Subsection 10",3.97E-4,0.318,3.4525243E-4
283,"Cedar Mtn-Mahogany Mtn, Subsection 11",4.3E-4,0.341,3.6795143E-4
284,"Cedar Mtn-Mahogany Mtn, Subsection 12",4.44E-4,0.345,4.163697E-4
285,"Cedar Mtn-Mahogany Mtn, Subsection 13",4.74E-4,0.382,5.415121E-4
286,"Cedar Mtn-Mahogany Mtn, Subsection 14",4.41E-4,0.367,5.0807267E-4
287,"Cerro Prieto, Subsection 0",1.0E-5,0.01,9.904324E-6
288,"Cerro Prieto, Subsection 1",0.001624,0.875,0.001546586
289,"Cerro Prieto, Subsection 2",0.003174,0.994,0.0029058969
290,"Cerro Prieto, Subsection 3",0.004275,1.0,0.003874977
291,"Cerro Prieto, Subsection 4",0.005871,1.0,0.0052908016
292,"Cerro Prieto, Subsection 5",0.007483,1.0,0.0067379023
293,"Cerro Prieto, Subsection 6",0.009395,1.0,0.008491141
294,"Cerro Prieto, Subsection 7",0.011495,1.0,0.010323417
295,"Cerro Prieto, Subsection 8",0.013483,1.0,0.011946832
296,"Cerro Prieto, Subsection 9",0.014468,1.0,0.012768693
297,"Cerro Prieto, Subsection 10",0.016565,1.0,0.0144632375
298,"Cerro Prieto, Subsection 11",0.015671,1.0,0.01359527
299,"Channel Islands Thrust, Subsection 0",6.41E-4,0.551,6.4736966E-4
300,"Channel Islands Thrust, Subsection 1",6.55E-4,0.553,6.5671344E-4
301,"Channel Islands Thrust, Subsection 2",4.11E-4,0.369,4.4552953E-4
302,"Channel Islands Thrust, Subsection 3",4.21E-4,0.373,4.546951E-4
303,"Channel Islands Thrust, Subsection 4",6.88E-4,0.579,6.19688E-4
304,"Channel Islands Thrust, Subsection 5",6.58E-4,0.565,5.8738113E-4
305,"Channel Islands Western Deep Ramp, Subsection 0",2.31E-4,0.22,1.9091545E-4
306,"Channel Islands Western Deep Ramp, Subsection 1",2.69E-4,0.253,2.2693056E-4
307,"Channel Islands Western Deep Ramp, Subsection 2",2.41E-4,0.232,2.0659273E-4
308,"Channel Islands Western Deep Ramp, Subsection 3",2.74E-4,0.269,1.983673E-4
309,"Channel Islands Western Deep Ramp, Subsection 4",2.9E-4,0.284,2.0114385E-4
310,"Channel Islands Western Deep Ramp, Subsection 5",2.86E-4,0.28,1.9557688E-4
311,"Chino alt 1, Subsection 0",0.001428,0.852,0.0013324701
312,"Chino alt 1, Subsection 1",0.00156,0.873,0.0014283537
313,"Chino alt 1, Subsection 2",0.001394,0.84,0.0010561842
314,"Chino alt 1, Subsection 3",0.001324,0.849,9.5144793E-4
315,"Chino alt 1, Subsection 4",0.001115,0.79,8.009932E-4
316,"Clamshell-Sawpit, Subsection 0",1.44E-4,0.14,1.6712814E-4
317,"Clamshell-Sawpit, Subsection 1",1.44E-4,0.14,1.6712814E-4
318,"Clayton, Subsection 0",3.7E-4,0.337,5.57983E-4
319,"Clayton, Subsection 1",4.0E-4,0.361,5.955206E-4
320,"Clayton, Subsection 2",3.13E-4,0.286,4.447668E-4
321,"Cleghorn, Subsection 0",3.06E-4,0.286,2.3739094E-4
322,"Cleghorn, Subsection 1",3.22E-4,0.299,2.573981E-4
323,"Cleghorn, Subsection 2",3.48E-4,0.326,3.2513647E-4
324,"Cleghorn, Subsection 3",3.2E-4,0.304,3.0488023E-4
325,"Cleghorn Lake, Subsection 0",6.98E-4,0.529,6.064936E-4
326,"Cleghorn Lake, Subsection 1",7.26E-4,0.54,6.395529E-4
327,"Cleghorn Lake, Subsection 2",7.1E-4,0.541,6.073471E-4
328,"Cleghorn Lake, Subsection 3",6.52E-4,0.534,5.821579E-4
329,"Cleghorn Lake, Subsection 4",6.17E-4,0.515,5.522804E-4
330,"Cleghorn Pass, Subsection 0",4.73E-4,0.444,3.2271788E-4
331,"Cleghorn Pass, Subsection 1",4.92E-4,0.454,3.336003E-4
332,"Cleghorn Pass, Subsection 2",4.6E-4,0.427,3.2653095E-4
333,"Cleghorn Pass, Subsection 3",4.47E-4,0.423,3.151651E-4
334,"Collayami 2011 CFM, Subsection 0",3.72E-4,0.336,7.8187016E-4
335,"Collayami 2011 CFM, Subsection 1",3.99E-4,0.354,8.2578015E-4
336,"Collayami 2011 CFM, Subsection 2",3.08E-4,0.281,6.904016E-4
337,"Collayami 2011 CFM, Subsection 3",2.89E-4,0.264,6.521883E-4
338,"Collayami 2011 CFM, Subsection 4",3.13E-4,0.291,6.789806E-4
339,"Collayami 2011 CFM, Subsection 5",4.13E-4,0.37,8.1587065E-4
340,"Collayami 2011 CFM, Subsection 6",3.92E-4,0.355,7.728134E-4
341,"Compton, Subsection 0",1.91E-4,0.189,2.9637513E-4
