Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
58,"Bartlett Springs 2011 CFM, Subsection 9",4.22E-4,0.209,2.0E-6,0.001,0.0,9.422325E-4
59,"Bartlett Springs 2011 CFM, Subsection 10",4.24E-4,0.211,2.0E-6,0.001,0.0,9.3600195E-4
60,"Bartlett Springs 2011 CFM, Subsection 11",4.28E-4,0.213,2.0E-6,0.001,0.0,9.44825E-4
61,"Bartlett Springs 2011 CFM, Subsection 12",4.58E-4,0.227,2.0E-6,0.001,0.0,9.790333E-4
62,"Bartlett Springs 2011 CFM, Subsection 13",4.76E-4,0.234,2.0E-6,0.001,0.0,9.947821E-4
63,"Bartlett Springs 2011 CFM, Subsection 14",4.82E-4,0.237,2.0E-6,0.001,0.0,0.0010079083
64,"Bartlett Springs 2011 CFM, Subsection 15",4.82E-4,0.236,2.0E-6,0.001,0.0,0.0010133117
65,"Bartlett Springs 2011 CFM, Subsection 16",4.9E-4,0.238,2.0E-6,0.001,0.0,0.0010190166
66,"Bartlett Springs 2011 CFM, Subsection 17",4.86E-4,0.237,2.0E-6,0.001,0.0,0.0010143102
67,"Bartlett Springs 2011 CFM, Subsection 18",4.8E-4,0.233,2.0E-6,0.001,0.0,0.0010031016
68,"Bartlett Springs 2011 CFM, Subsection 19",4.74E-4,0.23,2.0E-6,0.001,0.0,9.812365E-4
69,"Bartlett Springs 2011 CFM, Subsection 20",4.58E-4,0.222,0.0,0.0,0.0,9.4535865E-4
70,"Bartlett Springs 2011 CFM, Subsection 21",4.3E-4,0.208,0.0,0.0,0.0,8.957867E-4
71,"Bartlett Springs 2011 CFM, Subsection 22",3.86E-4,0.187,0.0,0.0,0.0,7.9588895E-4
72,"Battle Creek 2011 CFM, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
73,"Battle Creek 2011 CFM, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
74,"Battle Creek 2011 CFM, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
75,"Battle Creek 2011 CFM, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0
76,"Battle Creek 2011 CFM, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0
77,"Battle Creek 2011 CFM, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0
78,"Battle Creek 2011 CFM, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0
79,"Bear River fault zone, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
80,"Bear River fault zone, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
81,"Bear River fault zone, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
82,"Bear River fault zone, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0
83,"Bear River fault zone, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0
84,"Bear River fault zone, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0
85,"Bear River fault zone, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0
86,"Bear River fault zone, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0
87,"Bear River fault zone, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0
88,"Bear River fault zone, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0
89,"Bear River fault zone, Subsection 10",0.0,0.0,0.0,0.0,0.0,0.0
90,"Bennett Valley 2011 CFM, Subsection 0",1.2E-5,0.006,0.0,0.0,0.0,2.8099455E-5
91,"Bennett Valley 2011 CFM, Subsection 1",1.2E-5,0.006,0.0,0.0,0.0,2.8501052E-5
92,"Bennett Valley 2011 CFM, Subsection 2",1.2E-5,0.006,0.0,0.0,0.0,2.8402865E-5
93,"Bennett Valley 2011 CFM, Subsection 3",1.2E-5,0.006,0.0,0.0,0.0,2.8406674E-5
94,"Bennett Valley 2011 CFM, Subsection 4",1.4E-5,0.007,0.0,0.0,0.0,2.835269E-5
95,"Bennett Valley 2011 CFM, Subsection 5",1.4E-5,0.007,0.0,0.0,0.0,2.8150323E-5
96,"Bennett Valley 2011 CFM, Subsection 6",1.2E-5,0.006,0.0,0.0,0.0,2.6225174E-5
97,"Bicycle Lake, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
98,"Bicycle Lake, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
99,"Bicycle Lake, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
100,"Bicycle Lake, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0
101,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 0",1.58E-4,0.079,2.0E-6,0.001,0.0,1.73554E-4
102,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 1",1.68E-4,0.084,2.0E-6,0.001,0.0,1.8704461E-4
103,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 2",1.76E-4,0.088,2.0E-6,0.001,0.0,1.9710054E-4
104,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 3",1.86E-4,0.093,4.0E-6,0.002,2.0E-6,2.0531191E-4
105,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 4",1.84E-4,0.092,4.0E-6,0.002,2.0E-6,2.0617974E-4
106,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 5",1.86E-4,0.093,4.0E-6,0.002,2.0E-6,2.1248785E-4
107,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 6",1.94E-4,0.097,4.0E-6,0.002,2.0E-6,2.1480405E-4
108,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 7",1.88E-4,0.094,4.0E-6,0.002,2.0E-6,2.150591E-4
109,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 8",1.96E-4,0.098,1.0E-5,0.005,4.0E-6,2.1789261E-4
110,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 9",1.9E-4,0.095,1.0E-5,0.005,4.0E-6,2.1091841E-4
111,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 10",1.82E-4,0.091,1.0E-5,0.005,4.0E-6,2.0224307E-4
112,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 11",1.62E-4,0.081,8.0E-6,0.004,4.0E-6,1.9357333E-4
113,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 12",1.52E-4,0.076,8.0E-6,0.004,4.0E-6,1.8366709E-4
114,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 13",1.4E-4,0.07,8.0E-6,0.004,4.0E-6,1.7255792E-4
115,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 14",1.24E-4,0.062,8.0E-6,0.004,4.0E-6,1.5959959E-4
116,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 15",1.04E-4,0.052,8.0E-6,0.004,4.0E-6,1.427931E-4
117,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 16",8.6E-5,0.043,8.0E-6,0.004,4.0E-6,1.1913775E-4
118,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 17",6.2E-5,0.031,8.0E-6,0.004,4.0E-6,8.9417896E-5
119,"Big Pine (Central), Subsection 0",1.8E-5,0.009,2.0E-6,0.001,0.0,1.0664719E-5
120,"Big Pine (Central), Subsection 1",2.0E-5,0.01,2.0E-6,0.001,0.0,1.2423099E-5
121,"Big Pine (Central), Subsection 2",2.2E-5,0.011,2.0E-6,0.001,0.0,1.4919467E-5
122,"Big Pine (Central), Subsection 3",2.4E-5,0.012,2.0E-6,0.001,0.0,1.778342E-5
123,"Big Pine (Central), Subsection 4",2.4E-5,0.012,2.0E-6,0.001,0.0,1.778342E-5
124,"Big Pine (Central), Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0
125,"Big Pine (Central), Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0
126,"Big Pine (East), Subsection 0",5.8E-5,0.029,8.0E-6,0.004,2.0E-6,5.008419E-5
127,"Big Pine (East), Subsection 1",5.8E-5,0.029,8.0E-6,0.004,2.0E-6,5.008419E-5
128,"Big Pine (East), Subsection 2",5.6E-5,0.028,8.0E-6,0.004,2.0E-6,4.6213096E-5
129,"Big Pine (East), Subsection 3",5.2E-5,0.026,8.0E-6,0.004,2.0E-6,4.3574826E-5
130,"Big Pine (West), Subsection 0",0.0,0.0,0.0,0.0,0.0,1.2230206E-6
131,"Big Pine (West), Subsection 1",0.0,0.0,0.0,0.0,0.0,1.2230206E-6
132,"Big Pine (West), Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
133,"Blackwater, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
134,"Blackwater, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
135,"Blackwater, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
136,"Blackwater, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0
137,"Blackwater, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0
138,"Blackwater, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0
139,"Blackwater, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0
140,"Blackwater, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0
141,"Blackwater, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0
142,"Blackwater, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0
143,"Blackwater, Subsection 10",0.0,0.0,0.0,0.0,0.0,0.0
144,"Blue Cut, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
145,"Blue Cut, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
146,"Blue Cut, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
147,"Blue Cut, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0
148,"Blue Cut, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0
149,"Blue Cut, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0
150,"Blue Cut, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0
151,"Blue Cut, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0
152,"Blue Cut, Subsection 8",0.0,0.0,0.0,0.0,0.0,0.0
153,"Blue Cut, Subsection 9",0.0,0.0,0.0,0.0,0.0,0.0
154,"Blue Cut, Subsection 10",0.0,0.0,0.0,0.0,0.0,0.0
155,"Blue Cut, Subsection 11",0.0,0.0,0.0,0.0,0.0,0.0
156,"Blue Cut, Subsection 12",0.0,0.0,0.0,0.0,0.0,0.0
157,"Brawley (Seismic Zone) alt 1, Subsection 0",0.001618,0.632,6.6E-5,0.032,3.4E-5,0.0017912637
158,"Brawley (Seismic Zone) alt 1, Subsection 1",0.001618,0.632,6.6E-5,0.032,3.4E-5,0.0017912637
159,"Brawley (Seismic Zone) alt 1, Subsection 2",0.001592,0.628,6.6E-5,0.032,3.4E-5,0.0017743286
160,"Brawley (Seismic Zone) alt 1, Subsection 3",0.001582,0.625,6.6E-5,0.032,3.4E-5,0.0017562384
161,"Brawley (Seismic Zone) alt 1, Subsection 4",0.001574,0.624,6.6E-5,0.032,3.4E-5,0.0017393733
162,"Brawley (Seismic Zone) alt 1, Subsection 5",0.001568,0.623,6.6E-5,0.032,3.4E-5,0.0017248475
