Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
92,"Bennett Valley 2011 CFM, Subsection 2",4.4E-4,0.212,6.488631E-4
93,"Bennett Valley 2011 CFM, Subsection 3",4.26E-4,0.204,6.361575E-4
94,"Bennett Valley 2011 CFM, Subsection 4",4.12E-4,0.199,6.2557665E-4
95,"Bennett Valley 2011 CFM, Subsection 5",3.9E-4,0.189,6.0369755E-4
96,"Bennett Valley 2011 CFM, Subsection 6",3.68E-4,0.179,5.7181594E-4
97,"Bicycle Lake, Subsection 0",2.3E-4,0.115,2.89994E-4
98,"Bicycle Lake, Subsection 1",2.3E-4,0.115,2.89994E-4
99,"Bicycle Lake, Subsection 2",2.02E-4,0.101,2.558146E-4
100,"Bicycle Lake, Subsection 3",1.94E-4,0.097,2.4054704E-4
101,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 0",2.2E-4,0.109,3.19658E-4
102,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 1",2.34E-4,0.116,3.374489E-4
103,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 2",1.92E-4,0.096,2.8072472E-4
104,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 3",1.84E-4,0.092,2.707548E-4
105,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 4",2.02E-4,0.101,2.6090385E-4
106,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 5",2.1E-4,0.104,2.580156E-4
107,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 6",2.04E-4,0.101,2.5569517E-4
108,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 7",2.12E-4,0.105,2.5519152E-4
109,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 8",2.08E-4,0.104,2.575542E-4
110,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 9",2.02E-4,0.101,2.6302354E-4
111,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 10",2.04E-4,0.101,2.6750076E-4
112,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 11",2.04E-4,0.101,2.7350316E-4
113,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 12",2.12E-4,0.104,2.8719226E-4
114,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 13",2.08E-4,0.102,3.0956077E-4
115,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 14",2.14E-4,0.104,3.4044898E-4
116,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 15",2.34E-4,0.112,3.787213E-4
117,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 16",3.32E-4,0.158,5.649302E-4
118,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 17",3.08E-4,0.148,5.2500045E-4
119,"Big Pine (Central), Subsection 0",7.6E-5,0.038,1.15965355E-4
120,"Big Pine (Central), Subsection 1",8.6E-5,0.042,1.2328426E-4
121,"Big Pine (Central), Subsection 2",7.4E-5,0.036,1.11228816E-4
122,"Big Pine (Central), Subsection 3",7.6E-5,0.037,1.1334248E-4
123,"Big Pine (Central), Subsection 4",7.6E-5,0.037,1.100002E-4
124,"Big Pine (Central), Subsection 5",2.0E-5,0.01,3.3843127E-5
125,"Big Pine (Central), Subsection 6",2.0E-5,0.01,3.2090335E-5
126,"Big Pine (East), Subsection 0",2.46E-4,0.122,2.4551703E-4
127,"Big Pine (East), Subsection 1",2.48E-4,0.123,2.4914325E-4
128,"Big Pine (East), Subsection 2",1.98E-4,0.099,2.0255524E-4
129,"Big Pine (East), Subsection 3",1.88E-4,0.094,1.8648151E-4
130,"Big Pine (West), Subsection 0",6.0E-6,0.003,1.4723835E-5
131,"Big Pine (West), Subsection 1",6.0E-6,0.003,1.6456292E-5
132,"Big Pine (West), Subsection 2",4.0E-6,0.002,1.1655171E-5
133,"Blackwater, Subsection 0",5.0E-5,0.025,1.225605E-4
134,"Blackwater, Subsection 1",7.0E-5,0.034,1.546695E-4
135,"Blackwater, Subsection 2",1.06E-4,0.052,1.9945994E-4
136,"Blackwater, Subsection 3",1.12E-4,0.055,2.2815085E-4
137,"Blackwater, Subsection 4",1.3E-4,0.064,2.5503646E-4
138,"Blackwater, Subsection 5",1.36E-4,0.068,2.5114635E-4
139,"Blackwater, Subsection 6",1.42E-4,0.071,2.5869667E-4
140,"Blackwater, Subsection 7",1.28E-4,0.064,2.324733E-4
141,"Blackwater, Subsection 8",1.12E-4,0.056,2.0492965E-4
142,"Blackwater, Subsection 9",8.2E-5,0.041,1.600662E-4
143,"Blackwater, Subsection 10",7.6E-5,0.038,1.2792705E-4
144,"Blue Cut, Subsection 0",1.92E-4,0.096,2.5302355E-4
145,"Blue Cut, Subsection 1",2.06E-4,0.103,2.875756E-4
