Subsection Index,Subsection Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
57,"Bartlett Springs 2011 CFM, Subsection 8",0.009,0.0,1.0E-4,1.0E-4,8.0E-4,0.009,0.0013,0.0,0.0,0.0,1.0E-4,0.0013,2.0E-4
58,"Bartlett Springs 2011 CFM, Subsection 9",0.0086,0.0,1.0E-4,1.0E-4,8.0E-4,0.0086,0.0012,0.0,0.0,0.0,1.0E-4,0.0012,2.0E-4
59,"Bartlett Springs 2011 CFM, Subsection 10",0.007,0.0,1.0E-4,1.0E-4,6.0E-4,0.007,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,2.0E-4
60,"Bartlett Springs 2011 CFM, Subsection 11",0.0072,0.0,1.0E-4,1.0E-4,8.0E-4,0.0072,0.0013,0.0,0.0,0.0,2.0E-4,0.0013,3.0E-4
61,"Bartlett Springs 2011 CFM, Subsection 12",0.0103,0.0,1.0E-4,1.0E-4,0.0012,0.0103,0.0014,0.0,0.0,0.0,3.0E-4,0.0014,4.0E-4
62,"Bartlett Springs 2011 CFM, Subsection 13",0.0102,0.0,1.0E-4,1.0E-4,0.0011,0.0102,0.0013,0.0,0.0,0.0,2.0E-4,0.0013,3.0E-4
63,"Bartlett Springs 2011 CFM, Subsection 14",0.0108,0.0,1.0E-4,1.0E-4,0.0012,0.0108,0.0014,0.0,0.0,0.0,2.0E-4,0.0014,4.0E-4
64,"Bartlett Springs 2011 CFM, Subsection 15",0.0105,0.0,1.0E-4,1.0E-4,0.0013,0.0105,0.0014,0.0,0.0,0.0,2.0E-4,0.0014,4.0E-4
65,"Bartlett Springs 2011 CFM, Subsection 16",0.0109,0.0,1.0E-4,1.0E-4,0.0013,0.0109,0.0013,0.0,0.0,0.0,2.0E-4,0.0013,3.0E-4
66,"Bartlett Springs 2011 CFM, Subsection 17",0.0123,0.0,1.0E-4,1.0E-4,0.0016,0.0123,0.0016,0.0,0.0,0.0,2.0E-4,0.0016,4.0E-4
67,"Bartlett Springs 2011 CFM, Subsection 18",0.0134,0.0,1.0E-4,1.0E-4,0.0015,0.0134,0.0018,0.0,0.0,0.0,2.0E-4,0.0018,6.0E-4
68,"Bartlett Springs 2011 CFM, Subsection 19",0.0142,0.0,1.0E-4,1.0E-4,0.0014,0.0142,0.0019,0.0,0.0,0.0,1.0E-4,0.0019,6.0E-4
69,"Bartlett Springs 2011 CFM, Subsection 20",0.0147,0.0,1.0E-4,1.0E-4,0.0013,0.0147,0.002,0.0,0.0,0.0,1.0E-4,0.002,6.0E-4
70,"Bartlett Springs 2011 CFM, Subsection 21",0.0182,0.0,1.0E-4,1.0E-4,0.0013,0.018,0.0023,0.0,0.0,0.0,1.0E-4,0.0022,7.0E-4
