Subsection Index,Subsection Name,Total Mean Annual Rate,Total 100 Year Prob,Long-Term Fault System Solution Rate
27,"Ash Hill, Subsection 0",4.2E-4,0.041,5.2065734E-4
28,"Ash Hill, Subsection 1",4.7E-4,0.046,5.571091E-4
29,"Ash Hill, Subsection 2",3.2E-4,0.032,4.1858046E-4
30,"Ash Hill, Subsection 3",3.0E-4,0.03,4.119298E-4
31,"Ash Hill, Subsection 4",2.8E-4,0.027,4.1227322E-4
32,"Ash Hill, Subsection 5",2.7E-4,0.026,4.1686627E-4
33,"Ash Hill, Subsection 6",4.1E-4,0.04,5.542713E-4
34,"Ash Hill, Subsection 7",3.9E-4,0.038,5.2061724E-4
35,"Baker, Subsection 0",1.1E-4,0.011,1.7858914E-4
36,"Baker, Subsection 1",1.2E-4,0.012,1.9097161E-4
37,"Baker, Subsection 2",9.0E-5,0.009,1.2772193E-4
38,"Baker, Subsection 3",8.0E-5,0.008,1.2039913E-4
39,"Baker, Subsection 4",7.0E-5,0.007,1.0585449E-4
40,"Baker, Subsection 5",6.0E-5,0.006,1.00464655E-4
41,"Baker, Subsection 6",6.0E-5,0.006,9.622747E-5
42,"Baker, Subsection 7",6.0E-5,0.006,8.930945E-5
43,"Baker, Subsection 8",7.0E-5,0.007,7.174311E-5
44,"Baker, Subsection 9",7.0E-5,0.007,6.308318E-5
45,"Baker, Subsection 10",6.0E-5,0.006,5.775542E-5
46,"Baker, Subsection 11",5.0E-5,0.005,5.9393864E-5
47,"Baker, Subsection 12",4.0E-5,0.004,7.286544E-5
48,"Baker, Subsection 13",4.0E-5,0.004,7.092177E-5
49,"Bartlett Springs 2011 CFM, Subsection 0",9.4E-4,0.093,0.0014457427
50,"Bartlett Springs 2011 CFM, Subsection 1",9.6E-4,0.095,0.0014694276
51,"Bartlett Springs 2011 CFM, Subsection 2",9.1E-4,0.091,0.001392971
52,"Bartlett Springs 2011 CFM, Subsection 3",9.0E-4,0.09,0.001365971
53,"Bartlett Springs 2011 CFM, Subsection 4",8.7E-4,0.087,0.0013625647
54,"Bartlett Springs 2011 CFM, Subsection 5",8.9E-4,0.089,0.0013706383
55,"Bartlett Springs 2011 CFM, Subsection 6",8.9E-4,0.089,0.0013594324
56,"Bartlett Springs 2011 CFM, Subsection 7",8.7E-4,0.087,0.0014456407
57,"Bartlett Springs 2011 CFM, Subsection 8",8.3E-4,0.083,0.0014310674
58,"Bartlett Springs 2011 CFM, Subsection 9",8.5E-4,0.085,0.001390834
59,"Bartlett Springs 2011 CFM, Subsection 10",6.9E-4,0.069,0.0010804604
60,"Bartlett Springs 2011 CFM, Subsection 11",6.9E-4,0.069,0.0010944785
61,"Bartlett Springs 2011 CFM, Subsection 12",9.8E-4,0.098,0.001483013
62,"Bartlett Springs 2011 CFM, Subsection 13",0.00101,0.101,0.001534972
63,"Bartlett Springs 2011 CFM, Subsection 14",0.00103,0.103,0.0015687704
64,"Bartlett Springs 2011 CFM, Subsection 15",9.2E-4,0.092,0.0014754542
65,"Bartlett Springs 2011 CFM, Subsection 16",9.7E-4,0.097,0.0015213606
66,"Bartlett Springs 2011 CFM, Subsection 17",0.00106,0.106,0.0015368889
67,"Bartlett Springs 2011 CFM, Subsection 18",0.00119,0.118,0.0015880554
68,"Bartlett Springs 2011 CFM, Subsection 19",0.00128,0.126,0.0016513385
69,"Bartlett Springs 2011 CFM, Subsection 20",0.00134,0.132,0.0016750054
70,"Bartlett Springs 2011 CFM, Subsection 21",0.00154,0.15,0.0018841459
71,"Bartlett Springs 2011 CFM, Subsection 22",0.00145,0.142,0.0017592413
72,"Battle Creek 2011 CFM, Subsection 0",6.0E-5,0.006,1.6618324E-4
73,"Battle Creek 2011 CFM, Subsection 1",7.0E-5,0.007,1.9578171E-4
74,"Battle Creek 2011 CFM, Subsection 2",7.0E-5,0.007,1.709035E-4
75,"Battle Creek 2011 CFM, Subsection 3",7.0E-5,0.007,1.7296284E-4
76,"Battle Creek 2011 CFM, Subsection 4",7.0E-5,0.007,1.8240098E-4
77,"Battle Creek 2011 CFM, Subsection 5",1.0E-4,0.01,2.1927248E-4
78,"Battle Creek 2011 CFM, Subsection 6",1.0E-4,0.01,1.92047E-4
79,"Bear River fault zone, Subsection 0",2.4E-4,0.024,4.433904E-4
80,"Bear River fault zone, Subsection 1",3.0E-4,0.03,4.907389E-4
81,"Bear River fault zone, Subsection 2",3.4E-4,0.034,5.068453E-4
82,"Bear River fault zone, Subsection 3",3.5E-4,0.035,5.2818516E-4
83,"Bear River fault zone, Subsection 4",3.7E-4,0.037,5.4337684E-4
84,"Bear River fault zone, Subsection 5",3.8E-4,0.038,5.656841E-4
85,"Bear River fault zone, Subsection 6",4.1E-4,0.041,5.756444E-4
86,"Bear River fault zone, Subsection 7",4.2E-4,0.042,5.8361323E-4
87,"Bear River fault zone, Subsection 8",4.5E-4,0.045,6.7622086E-4
88,"Bear River fault zone, Subsection 9",6.0E-4,0.059,9.545354E-4
89,"Bear River fault zone, Subsection 10",5.7E-4,0.056,9.000491E-4
90,"Bennett Valley 2011 CFM, Subsection 0",7.6E-4,0.073,8.670489E-4
91,"Bennett Valley 2011 CFM, Subsection 1",8.2E-4,0.079,9.2122896E-4
92,"Bennett Valley 2011 CFM, Subsection 2",7.6E-4,0.075,9.077574E-4
93,"Bennett Valley 2011 CFM, Subsection 3",7.1E-4,0.07,8.628539E-4
94,"Bennett Valley 2011 CFM, Subsection 4",7.5E-4,0.074,9.844394E-4
95,"Bennett Valley 2011 CFM, Subsection 5",7.5E-4,0.074,9.984175E-4
96,"Bennett Valley 2011 CFM, Subsection 6",7.2E-4,0.071,9.588423E-4
97,"Bicycle Lake, Subsection 0",9.7E-4,0.094,6.573573E-4
98,"Bicycle Lake, Subsection 1",9.8E-4,0.095,6.7851593E-4
99,"Bicycle Lake, Subsection 2",0.001,0.097,8.382663E-4
100,"Bicycle Lake, Subsection 3",9.6E-4,0.093,8.0834504E-4
101,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 0",2.9E-4,0.029,3.19658E-4
102,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 1",3.0E-4,0.03,3.374489E-4
103,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 2",2.1E-4,0.021,2.8072472E-4
104,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 3",2.6E-4,0.026,2.707548E-4
105,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 4",2.6E-4,0.026,2.6090385E-4
106,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 5",2.7E-4,0.027,2.580156E-4
107,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 6",2.7E-4,0.027,2.5569517E-4
108,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 7",2.7E-4,0.027,2.5519152E-4
109,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 8",2.9E-4,0.029,2.575542E-4
110,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 9",2.9E-4,0.029,2.6302354E-4
111,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 10",2.8E-4,0.028,2.6750076E-4
112,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 11",2.9E-4,0.029,2.7350316E-4
113,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 12",2.7E-4,0.027,2.8719226E-4
114,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 13",2.5E-4,0.025,3.0956077E-4
115,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 14",2.9E-4,0.029,3.4044898E-4
116,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 15",3.1E-4,0.031,3.787213E-4
117,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 16",4.6E-4,0.045,5.649302E-4
118,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 17",4.2E-4,0.041,5.2500045E-4
119,"Big Pine (Central), Subsection 0",2.9E-4,0.028,4.3030464E-4
120,"Big Pine (Central), Subsection 1",3.4E-4,0.033,4.7441374E-4
121,"Big Pine (Central), Subsection 2",3.6E-4,0.034,5.30696E-4
122,"Big Pine (Central), Subsection 3",5.1E-4,0.047,6.376021E-4
123,"Big Pine (Central), Subsection 4",4.7E-4,0.045,6.1315094E-4
124,"Big Pine (Central), Subsection 5",4.3E-4,0.042,5.3042383E-4
125,"Big Pine (Central), Subsection 6",4.3E-4,0.042,5.239334E-4
126,"Big Pine (East), Subsection 0",2.3E-4,0.023,2.9491246E-4
127,"Big Pine (East), Subsection 1",2.4E-4,0.024,3.273348E-4
128,"Big Pine (East), Subsection 2",2.3E-4,0.023,4.2306288E-4
129,"Big Pine (East), Subsection 3",2.1E-4,0.021,4.0202538E-4
130,"Big Pine (West), Subsection 0",2.0E-5,0.002,2.1024089E-5
131,"Big Pine (West), Subsection 1",3.0E-5,0.003,3.5641617E-5
132,"Big Pine (West), Subsection 2",3.0E-5,0.003,3.0143243E-5
133,"Blackwater, Subsection 0",3.2E-4,0.032,5.5195246E-4
134,"Blackwater, Subsection 1",3.5E-4,0.035,5.921046E-4
135,"Blackwater, Subsection 2",3.2E-4,0.032,4.3221778E-4
136,"Blackwater, Subsection 3",3.5E-4,0.035,4.3283068E-4
137,"Blackwater, Subsection 4",3.2E-4,0.032,3.8422932E-4
138,"Blackwater, Subsection 5",3.0E-4,0.03,3.9202062E-4
139,"Blackwater, Subsection 6",2.9E-4,0.029,3.838868E-4
140,"Blackwater, Subsection 7",3.4E-4,0.034,4.320655E-4
141,"Blackwater, Subsection 8",3.5E-4,0.035,4.3835258E-4
142,"Blackwater, Subsection 9",4.7E-4,0.046,5.98117E-4
143,"Blackwater, Subsection 10",4.4E-4,0.043,5.5877125E-4
144,"Blue Cut, Subsection 0",4.2E-4,0.042,5.124736E-4
145,"Blue Cut, Subsection 1",4.4E-4,0.044,5.4989656E-4
146,"Blue Cut, Subsection 2",2.6E-4,0.026,4.0316852E-4
147,"Blue Cut, Subsection 3",2.4E-4,0.024,3.7650985E-4
148,"Blue Cut, Subsection 4",2.1E-4,0.021,3.49399E-4
149,"Blue Cut, Subsection 5",2.1E-4,0.021,3.4076357E-4
150,"Blue Cut, Subsection 6",2.1E-4,0.021,3.3936932E-4
151,"Blue Cut, Subsection 7",2.2E-4,0.022,3.4063123E-4
152,"Blue Cut, Subsection 8",2.3E-4,0.023,3.4854867E-4
153,"Blue Cut, Subsection 9",2.5E-4,0.025,3.7501217E-4
154,"Blue Cut, Subsection 10",2.5E-4,0.025,4.0411676E-4
155,"Blue Cut, Subsection 11",3.8E-4,0.038,5.492568E-4
156,"Blue Cut, Subsection 12",3.7E-4,0.037,5.1306013E-4
157,"Brawley (Seismic Zone) alt 1, Subsection 0",0.0084,0.653,0.010662664
158,"Brawley (Seismic Zone) alt 1, Subsection 1",0.00897,0.687,0.011566627
159,"Brawley (Seismic Zone) alt 1, Subsection 2",0.00929,0.702,0.011965584
160,"Brawley (Seismic Zone) alt 1, Subsection 3",0.00945,0.706,0.012187505
161,"Brawley (Seismic Zone) alt 1, Subsection 4",0.00956,0.711,0.012309746
162,"Brawley (Seismic Zone) alt 1, Subsection 5",0.00965,0.716,0.012465971
163,"Brawley (Seismic Zone) alt 1, Subsection 6",0.00977,0.727,0.01260687
164,"Brawley (Seismic Zone) alt 1, Subsection 7",0.00982,0.726,0.0127529735
165,"Brawley (Seismic Zone) alt 1, Subsection 8",0.00993,0.735,0.012847789
166,"Brawley (Seismic Zone) alt 1, Subsection 9",0.00964,0.722,0.012377783
167,"Breckenridge 2011, Subsection 0",2.0E-5,0.002,5.9955266E-5
168,"Breckenridge 2011, Subsection 1",2.0E-5,0.002,5.9955266E-5
169,"Bullion Mountains, Subsection 0",4.6E-4,0.046,6.7111687E-4
170,"Bullion Mountains, Subsection 1",4.9E-4,0.049,7.0205145E-4
171,"Bullion Mountains, Subsection 2",4.2E-4,0.04,6.09838E-4
172,"Bullion Mountains, Subsection 3",3.5E-4,0.034,5.885949E-4
173,"Bullion Mountains, Subsection 4",3.2E-4,0.032,5.814996E-4
174,"Bullion Mountains, Subsection 5",3.1E-4,0.031,5.372005E-4
175,"Burnt Mtn, Subsection 0",3.7E-4,0.037,7.6363323E-4
176,"Burnt Mtn, Subsection 1",4.1E-4,0.041,8.178091E-4
177,"Burnt Mtn, Subsection 2",3.8E-4,0.038,7.648078E-4
178,"Butano 2011 CFM, Subsection 0",1.0E-4,0.01,2.4100597E-4
179,"Butano 2011 CFM, Subsection 1",1.1E-4,0.011,2.5178085E-4
180,"Butano 2011 CFM, Subsection 2",7.0E-5,0.007,2.4753233E-4
181,"Butano 2011 CFM, Subsection 3",1.3E-4,0.013,2.8211478E-4
182,"Butano 2011 CFM, Subsection 4",1.4E-4,0.014,2.8602162E-4
183,"Butano 2011 CFM, Subsection 5",1.5E-4,0.015,2.850404E-4
184,"Butano 2011 CFM, Subsection 6",1.6E-4,0.016,2.9395157E-4
185,"Butano 2011 CFM, Subsection 7",1.6E-4,0.016,2.7626497E-4
186,"Cady, Subsection 0",3.0E-4,0.03,5.811487E-4
187,"Cady, Subsection 1",3.2E-4,0.032,6.1505847E-4
188,"Cady, Subsection 2",3.4E-4,0.034,5.689375E-4
189,"Cady, Subsection 3",5.2E-4,0.049,7.0345186E-4
190,"Cady, Subsection 4",4.9E-4,0.048,6.60088E-4
191,"Calaveras (Central) 2011 CFM, Subsection 0",0.00204,0.199,0.0038275048
192,"Calaveras (Central) 2011 CFM, Subsection 1",0.00255,0.243,0.0046997718
193,"Calaveras (Central) 2011 CFM, Subsection 2",0.00249,0.236,0.0047514252
194,"Calaveras (Central) 2011 CFM, Subsection 3",0.00249,0.239,0.004828207
195,"Calaveras (Central) 2011 CFM, Subsection 4",0.00253,0.243,0.0048361374
196,"Calaveras (Central) 2011 CFM, Subsection 5",0.00224,0.216,0.004417294
197,"Calaveras (Central) 2011 CFM, Subsection 6",0.00223,0.213,0.0043376135
198,"Calaveras (Central) 2011 CFM, Subsection 7",0.00226,0.215,0.0043651396
199,"Calaveras (Central) 2011 CFM, Subsection 8",0.00345,0.298,0.0059121237
200,"Calaveras (Central) 2011 CFM, Subsection 9",0.00261,0.238,0.004080838
201,"Calaveras (No) 2011 CFM, Subsection 0",0.00152,0.148,0.0021334596
202,"Calaveras (No) 2011 CFM, Subsection 1",0.00158,0.154,0.0022099682
203,"Calaveras (No) 2011 CFM, Subsection 2",0.00159,0.156,0.0022244432
204,"Calaveras (No) 2011 CFM, Subsection 3",0.00158,0.155,0.0022261748
205,"Calaveras (No) 2011 CFM, Subsection 4",0.00156,0.153,0.0022508076
206,"Calaveras (No) 2011 CFM, Subsection 5",0.0015,0.147,0.0023094388
207,"Calaveras (No) 2011 CFM, Subsection 6",0.00106,0.105,0.0018845401
208,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 0",0.00222,0.217,0.0039068446
209,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 1",0.00229,0.222,0.0039721904
210,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 2",0.00243,0.233,0.0041855187
211,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 3",0.00276,0.262,0.004575454
212,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 4",0.00266,0.254,0.004422876
213,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 5",0.00254,0.244,0.004247909
214,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 6",0.00202,0.197,0.0032906414
215,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 7",0.00391,0.334,0.0058081364
216,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 8",0.00284,0.252,0.004075363
217,"Calaveras (So) 2011 CFM, Subsection 0",0.00344,0.314,0.0059521985
218,"Calaveras (So) 2011 CFM, Subsection 1",0.00471,0.406,0.008311862
219,"Calaveras (So) 2011 CFM, Subsection 2",0.00477,0.411,0.008338801
220,"Calaveras (So) 2011 CFM, Subsection 3",0.0045,0.391,0.008002838
221,"Calaveras (So) 2011 CFM, Subsection 4",0.00356,0.326,0.0066219955
222,"Calaveras (So) 2011 CFM, Subsection 5",0.00319,0.295,0.005785232
223,"Calico-Hidalgo, Subsection 0",5.5E-4,0.054,7.1149203E-4
224,"Calico-Hidalgo, Subsection 1",5.9E-4,0.058,7.543162E-4
225,"Calico-Hidalgo, Subsection 2",5.3E-4,0.053,6.808229E-4
226,"Calico-Hidalgo, Subsection 3",4.8E-4,0.048,6.606166E-4
227,"Calico-Hidalgo, Subsection 4",4.6E-4,0.046,6.3760026E-4
228,"Calico-Hidalgo, Subsection 5",4.6E-4,0.046,6.3996646E-4
229,"Calico-Hidalgo, Subsection 6",4.6E-4,0.046,6.412979E-4
230,"Calico-Hidalgo, Subsection 7",4.5E-4,0.045,6.364633E-4
231,"Calico-Hidalgo, Subsection 8",4.3E-4,0.043,6.4216985E-4
232,"Calico-Hidalgo, Subsection 9",4.6E-4,0.046,6.4694975E-4
233,"Calico-Hidalgo, Subsection 10",4.9E-4,0.049,6.559807E-4
234,"Calico-Hidalgo, Subsection 11",5.1E-4,0.051,6.7657704E-4
235,"Calico-Hidalgo, Subsection 12",5.3E-4,0.053,6.965377E-4
236,"Calico-Hidalgo, Subsection 13",5.3E-4,0.052,7.1467686E-4
237,"Calico-Hidalgo, Subsection 14",5.4E-4,0.052,7.545429E-4
238,"Calico-Hidalgo, Subsection 15",6.7E-4,0.061,9.837415E-4
239,"Calico-Hidalgo, Subsection 16",9.6E-4,0.094,0.0014537696
240,"Calico-Hidalgo, Subsection 17",8.2E-4,0.082,0.001271305
241,"Camp Rock 2011, Subsection 0",4.0E-4,0.04,5.5113004E-4
242,"Camp Rock 2011, Subsection 1",5.2E-4,0.05,7.1195787E-4
243,"Camp Rock 2011, Subsection 2",2.7E-4,0.027,3.774342E-4
244,"Camp Rock 2011, Subsection 3",3.1E-4,0.031,3.722676E-4
245,"Camp Rock 2011, Subsection 4",2.5E-4,0.025,3.6689395E-4
246,"Camp Rock 2011, Subsection 5",2.3E-4,0.023,3.532476E-4
247,"Canada David (Detachment), Subsection 0",2.0E-5,0.002,1.318811E-4
248,"Canada David (Detachment), Subsection 1",4.0E-5,0.004,1.708136E-4
249,"Canada David (Detachment), Subsection 2",4.0E-5,0.004,1.5883667E-4
250,"Carlsbad, Subsection 0",1.2E-4,0.012,1.2271272E-4
251,"Carlsbad, Subsection 1",1.2E-4,0.012,1.4389952E-4
252,"Carlsbad, Subsection 2",1.0E-4,0.01,1.4701959E-4
253,"Carlsbad, Subsection 3",9.0E-5,0.009,1.311662E-4
254,"Carlsbad, Subsection 4",8.0E-5,0.008,1.3556494E-4
255,"Carlsbad, Subsection 5",8.0E-5,0.008,1.5299456E-4
256,"Carlsbad, Subsection 6",8.0E-5,0.008,1.336014E-4
257,"Carson Range (Genoa), Subsection 0",8.0E-4,0.08,0.0012453912
258,"Carson Range (Genoa), Subsection 1",8.6E-4,0.086,0.0013314266
259,"Carson Range (Genoa), Subsection 2",6.2E-4,0.062,0.0010756133
260,"Carson Range (Genoa), Subsection 3",5.8E-4,0.058,0.001073619
261,"Carson Range (Genoa), Subsection 4",6.4E-4,0.063,0.0010715898
262,"Carson Range (Genoa), Subsection 5",9.0E-4,0.089,0.0013522138
263,"Carson Range (Genoa), Subsection 6",8.2E-4,0.082,0.001266549
264,"Casmalia 2011 CFM, Subsection 0",6.0E-5,0.006,9.98144E-5
265,"Casmalia 2011 CFM, Subsection 1",7.0E-5,0.007,1.11029665E-4
266,"Casmalia 2011 CFM, Subsection 2",5.0E-5,0.005,1.1780475E-4
267,"Casmalia 2011 CFM, Subsection 3",8.0E-5,0.008,1.2271471E-4
268,"Casmalia 2011 CFM, Subsection 4",1.1E-4,0.011,1.21865385E-4
269,"Casmalia 2011 CFM, Subsection 5",1.5E-4,0.015,1.1758225E-4
270,"Casmalia 2011 CFM, Subsection 6",1.8E-4,0.018,1.2072508E-4
271,"Casmalia 2011 CFM, Subsection 7",1.7E-4,0.017,1.09624954E-4
272,"Cedar Mtn-Mahogany Mtn, Subsection 0",2.7E-4,0.027,4.8976496E-4
273,"Cedar Mtn-Mahogany Mtn, Subsection 1",2.7E-4,0.027,5.212897E-4
274,"Cedar Mtn-Mahogany Mtn, Subsection 2",2.3E-4,0.022,3.9957234E-4
275,"Cedar Mtn-Mahogany Mtn, Subsection 3",2.4E-4,0.024,3.5295758E-4
276,"Cedar Mtn-Mahogany Mtn, Subsection 4",2.4E-4,0.024,3.2723966E-4
277,"Cedar Mtn-Mahogany Mtn, Subsection 5",2.1E-4,0.021,3.1392282E-4
278,"Cedar Mtn-Mahogany Mtn, Subsection 6",2.1E-4,0.021,3.041663E-4
279,"Cedar Mtn-Mahogany Mtn, Subsection 7",1.7E-4,0.017,3.0289256E-4
280,"Cedar Mtn-Mahogany Mtn, Subsection 8",2.1E-4,0.018,3.0357027E-4
281,"Cedar Mtn-Mahogany Mtn, Subsection 9",2.4E-4,0.021,3.2943152E-4
282,"Cedar Mtn-Mahogany Mtn, Subsection 10",2.1E-4,0.019,3.4525243E-4
283,"Cedar Mtn-Mahogany Mtn, Subsection 11",2.1E-4,0.019,3.6795143E-4
284,"Cedar Mtn-Mahogany Mtn, Subsection 12",2.4E-4,0.023,4.163697E-4
285,"Cedar Mtn-Mahogany Mtn, Subsection 13",3.3E-4,0.033,5.415121E-4
286,"Cedar Mtn-Mahogany Mtn, Subsection 14",3.1E-4,0.031,5.0807267E-4
287,"Cerro Prieto, Subsection 0",0.0,0.0,9.904324E-6
288,"Cerro Prieto, Subsection 1",7.4E-4,0.073,0.001546586
289,"Cerro Prieto, Subsection 2",0.00158,0.153,0.0029058969
290,"Cerro Prieto, Subsection 3",0.00231,0.222,0.003874977
291,"Cerro Prieto, Subsection 4",0.00332,0.315,0.0052908016
292,"Cerro Prieto, Subsection 5",0.00449,0.412,0.0067379023
293,"Cerro Prieto, Subsection 6",0.00593,0.514,0.008491141
294,"Cerro Prieto, Subsection 7",0.00753,0.606,0.010323417
295,"Cerro Prieto, Subsection 8",0.00891,0.681,0.011946832
296,"Cerro Prieto, Subsection 9",0.00955,0.712,0.012768693
297,"Cerro Prieto, Subsection 10",0.01117,0.766,0.0144632375
298,"Cerro Prieto, Subsection 11",0.01067,0.754,0.01359527
299,"Channel Islands Thrust, Subsection 0",6.5E-4,0.064,6.4736966E-4
300,"Channel Islands Thrust, Subsection 1",6.7E-4,0.066,6.5671344E-4
301,"Channel Islands Thrust, Subsection 2",4.8E-4,0.048,4.4552953E-4
302,"Channel Islands Thrust, Subsection 3",4.8E-4,0.048,4.546951E-4
303,"Channel Islands Thrust, Subsection 4",7.7E-4,0.074,6.19688E-4
304,"Channel Islands Thrust, Subsection 5",7.6E-4,0.073,5.8738113E-4
305,"Channel Islands Western Deep Ramp, Subsection 0",2.4E-4,0.024,1.9091545E-4
306,"Channel Islands Western Deep Ramp, Subsection 1",2.7E-4,0.027,2.2693056E-4
307,"Channel Islands Western Deep Ramp, Subsection 2",2.3E-4,0.023,2.0659273E-4
308,"Channel Islands Western Deep Ramp, Subsection 3",2.6E-4,0.026,1.983673E-4
309,"Channel Islands Western Deep Ramp, Subsection 4",2.5E-4,0.025,2.0114385E-4
310,"Channel Islands Western Deep Ramp, Subsection 5",2.5E-4,0.025,1.9557688E-4
311,"Chino alt 1, Subsection 0",9.4E-4,0.093,0.0013324701
312,"Chino alt 1, Subsection 1",0.00102,0.1,0.0014283537
313,"Chino alt 1, Subsection 2",8.0E-4,0.078,0.0010561842
314,"Chino alt 1, Subsection 3",7.8E-4,0.076,9.5144793E-4
315,"Chino alt 1, Subsection 4",6.5E-4,0.064,8.009932E-4
316,"Clamshell-Sawpit, Subsection 0",2.3E-4,0.023,1.6712814E-4
317,"Clamshell-Sawpit, Subsection 1",2.3E-4,0.023,1.6712814E-4
318,"Clayton, Subsection 0",3.0E-4,0.03,5.57983E-4
319,"Clayton, Subsection 1",3.1E-4,0.031,5.955206E-4
320,"Clayton, Subsection 2",2.1E-4,0.021,4.447668E-4
321,"Cleghorn, Subsection 0",2.0E-4,0.02,2.3739094E-4
322,"Cleghorn, Subsection 1",2.3E-4,0.023,2.573981E-4
323,"Cleghorn, Subsection 2",2.8E-4,0.028,3.2513647E-4
324,"Cleghorn, Subsection 3",2.8E-4,0.028,3.0488023E-4
325,"Cleghorn Lake, Subsection 0",6.3E-4,0.062,6.064936E-4
326,"Cleghorn Lake, Subsection 1",6.6E-4,0.065,6.395529E-4
327,"Cleghorn Lake, Subsection 2",5.7E-4,0.056,6.073471E-4
328,"Cleghorn Lake, Subsection 3",4.6E-4,0.045,5.821579E-4
329,"Cleghorn Lake, Subsection 4",4.5E-4,0.044,5.522804E-4
330,"Cleghorn Pass, Subsection 0",4.0E-4,0.04,3.2271788E-4
331,"Cleghorn Pass, Subsection 1",4.1E-4,0.04,3.336003E-4
332,"Cleghorn Pass, Subsection 2",3.5E-4,0.035,3.2653095E-4
333,"Cleghorn Pass, Subsection 3",3.5E-4,0.035,3.151651E-4
334,"Collayami 2011 CFM, Subsection 0",3.8E-4,0.037,7.8187016E-4
335,"Collayami 2011 CFM, Subsection 1",4.1E-4,0.04,8.2578015E-4
336,"Collayami 2011 CFM, Subsection 2",3.7E-4,0.037,6.904016E-4
337,"Collayami 2011 CFM, Subsection 3",3.7E-4,0.037,6.521883E-4
338,"Collayami 2011 CFM, Subsection 4",3.2E-4,0.032,6.789806E-4
339,"Collayami 2011 CFM, Subsection 5",4.5E-4,0.045,8.1587065E-4
340,"Collayami 2011 CFM, Subsection 6",4.0E-4,0.04,7.728134E-4
